# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
alpha,fOut,scalex,scalep,thermx,thermp
4752525.252525253,171,-349.6800906751565,108.35518651263116,1.7375603150422458,1.714425124863426
4802020.202020203,171,-371.638633853145,115.15946869392597,1.7375597038289863,1.714424514012323
4851515.151515152,171,-394.9760444569946,122.39101980179925,1.7375591627086768,1.7144239732126567
4901010.101010101,171,-419.7789098120121,130.07667060504878,1.7375586836431895,1.7144234944310552
4950505.05050505,171,-446.1392544280046,138.24493668998255,1.7375582595161883,1.714423070555395
5000000.0,171,-474.15488143202884,146.9261242600049,1.737557884027423,1.7144226952891561
100000.0,172,-0.25009950390527425,0.07429885939693681,2.0139920880940325,2.0132725517956462
149494.94949494948,172,-0.3750661456853108,0.11132226734479805,2.0045318750584595,2.002865763802051
198989.898989899,172,-0.5013667239342514,0.14874245250942472,1.9919802578121069,1.9894086723326116
248484.8484848485,172,-0.6294527083456634,0.1866926620120245,1.977040082838434,1.973614397764818
297979.797979798,172,-0.7597809589011996,0.22530808540976893,1.9604472081412494,1.9562259061752678
347474.7474747475,172,-0.8928160452738775,0.264726298002826,1.942900466918772,1.9379460617852264
396969.696969697,172,-1.0290320765239385,0.30508774130325983,1.9250130220636428,1.9193893499498142
446464.6464646465,172,-1.1689144487360479,0.3465362201715544,1.90728659252219,1.9010566262901207
495959.595959596,172,-1.3129615978821332,0.38921941388730363,1.8901050326713076,1.88332926162323
545454.5454545454,172,-1.4616867863874292,0.43328940173668806,1.8737414943690256,1.866476832976558
594949.494949495,172,-1.6156199372007733,0.4789032045746293,1.8583733403479248,1.8506724848839422
644444.4444444445,172,-1.7753095247692883,0.5262233441312006,1.844100129266523,1.8360112652387712
693939.393939394,172,-1.9413245308842162,0.5754184219864026,1.830961510351881,1.8225282764467141
743434.3434343435,172,-2.114256472940363,0.6266637202441141,1.8189532370382442,1.8102148641409361
